driver,query_shape,phase,n,mean,median,std,cv,min,p90,p95,p99,max
mongo,deep sub collection grand child range filter,exec,2950.0,25508.91627118644,13951.0,25344.948065153676,0.9935721218302804,1215.0,61467.6,63915.799999999996,67952.63999999996,76817.0
neo4j,deep sub collection grand child range filter,exec,2938.0,3100.8995915588835,2481.0,1330.6274681897096,0.4291101433312702,1244.0,5052.3,5408.300000000002,6079.080000000002,7915.0
postgres,deep sub collection grand child range filter,exec,2946.0,1451.7773251866938,1544.5,496.71951000690694,0.34214579700990333,595.0,2064.0,2210.75,2436.750000000001,3027.0
mongo,deep sub collection grand child range filter,total,2950.0,42279.758305084746,21774.5,43295.40226521878,1.0240219906841777,1710.0,103615.0,108333.7,114703.65999999996,127230.0
neo4j,deep sub collection grand child range filter,total,2938.0,3111.434989788972,2490.0,1333.4774895789733,0.42857314838817,1252.0,5070.3,5425.6500000000015,6112.930000000001,7949.0
postgres,deep sub collection grand child range filter,total,2946.0,1512.2970128988459,1603.0,505.05028515086724,0.33396236377056765,630.0,2127.0,2294.0,2518.350000000003,3135.0
mongo,deep sub collection id in list,build,2786.0,272.2720746590093,264.0,44.7288490175805,0.1642799727941194,193.0,336.5,363.0,397.0,403.0
neo4j,deep sub collection id in list,build,2791.0,13.159082766033679,13.0,2.7087649615944285,0.20584755106080133,7.0,17.0,19.0,21.0,21.0
postgres,deep sub collection id in list,build,2741.0,52.742429770156875,48.0,12.616785184849256,0.23921509190667173,36.0,77.0,82.0,85.0,87.0
mongo,deep sub collection id in list,exec,2889.0,1630.9892696434752,1611.0,263.1313556797884,0.1613323647048318,913.0,2000.2000000000003,2122.2,2286.3599999999997,2381.0
neo4j,deep sub collection id in list,exec,2909.0,1794.4568580268133,1783.0,219.24480064985647,0.12217891986042968,1179.0,2088.2000000000003,2178.6,2322.0,2415.0
postgres,deep sub collection id in list,exec,2949.0,1722.2414377755172,1493.0,853.3857185145258,0.49550875957135054,567.0,2960.0,3111.0,3498.0,4874.0
mongo,deep sub collection id in list,total,2894.0,1915.244644091223,1890.0,287.160020831189,0.14993385921590474,1150.0,2322.0,2438.0,2639.07,2726.0
neo4j,deep sub collection id in list,total,2907.0,1808.3790849673203,1797.0,219.25799151660917,0.12124559133605078,1188.0,2101.0,2196.7,2330.88,2424.0
postgres,deep sub collection id in list,total,2949.0,1780.8043404543914,1549.0,855.2137306762514,0.48024014275371457,606.0,3014.2000000000003,3169.2,3576.52,4923.0
mongo,deep sub collection parent range filter,build,2809.0,394.0121039515842,372.0,85.90134967644109,0.21801703250973364,260.0,517.0,548.0,626.8400000000001,675.0
neo4j,deep sub collection parent range filter,build,2852.0,7.671809256661992,7.0,1.5111898146800928,0.19697958644733202,4.0,10.0,11.0,12.0,12.0
postgres,deep sub collection parent range filter,build,2937.0,54.6227442969016,45.0,19.115577772681515,0.34995637840491695,33.0,87.0,91.0,104.63999999999987,120.0
mongo,deep sub collection parent range filter,exec,2950.0,4947.152881355933,3270.5,3747.157964258373,0.7574372682882077,924.0,10584.5,11194.749999999998,11989.179999999997,13738.0
neo4j,deep sub collection parent range filter,exec,2946.0,3000.0560081466397,2332.5,1306.0020812582256,0.43532589982046416,1304.0,4909.5,5279.0,6025.250000000003,7193.0
postgres,deep sub collection parent range filter,exec,2949.0,1959.413021363174,1373.0,1223.0966354131697,0.6242158350883342,588.0,3750.2000000000003,4024.2,4560.6,5249.0
mongo,deep sub collection parent range filter,total,2950.0,5362.957966101695,3629.0,3818.6615095136895,0.7120439007075519,1229.0,11119.2,11672.55,12585.119999999997,14204.0
neo4j,deep sub collection parent range filter,total,2946.0,3008.561439239647,2341.5,1306.6723527649558,0.4343179885650568,1310.0,4918.5,5289.5,6033.700000000003,7201.0
postgres,deep sub collection parent range filter,total,2949.0,2016.0451000339099,1428.0,1227.0973205599485,0.6086656099803068,621.0,3812.0,4101.799999999999,4612.6,5323.0
mongo,sub collection child and parent range filter,build,2948.0,284.5529172320217,244.0,99.04724059079126,0.3480802149360117,150.0,420.0,436.0,489.5300000000002,628.0
neo4j,sub collection child and parent range filter,build,2836.0,12.716854724964739,13.0,3.5587106211960102,0.2798420441345317,4.0,17.0,19.0,22.0,22.0
postgres,sub collection child and parent range filter,build,2928.0,43.654713114754095,36.0,15.9333244641329,0.36498520611621826,23.0,67.0,73.0,87.0,93.0
mongo,sub collection child and parent range filter,exec,2950.0,5074.073898305085,3065.5,4563.119282121849,0.8993009115705011,500.0,12024.0,12509.199999999999,13270.51,14629.0
neo4j,sub collection child and parent range filter,exec,2950.0,2895.3010169491527,2231.0,1446.709920239277,0.49967513283427417,987.0,5078.1,5375.65,6028.029999999988,8261.0
postgres,sub collection child and parent range filter,exec,2948.0,1303.894843962008,945.0,763.6910679737546,0.5856998909921347,359.0,2456.3,2572.3,2796.7100000000014,4235.0
