collection_size;result_size
100;82
100;299
100;169
100;169
100;128
100;153
100;636
100;708
100;670
100;708
100;708
100;562
100;108
100;108
100;177
100;108
100;505
100;571
100;977
100;802
100;544
100;790
100;706
100;790
100;924
100;647
100;924
100;356
100;499
100;356
100;704
100;704
100;636
100;400
100;400
100;905
100;905
100;283
100;769
100;786
100;937
100;789
100;1800
100;2956
100;1964
100;877
100;1267
100;0
100;1169
100;7129
100;2990
100;365
100;236
100;3670
100;10237
100;1629
100;348
100;530
100;2775
100;8194
100;3717
100;880
100;1533
100;5238
100;4361
100;738
100;4676
100;8454
100;7586
100;965
100;3542
100;3565
100;5245
100;3355
100;5545
100;3848
100;3076
100;4463
100;4364
