driver,query_shape,phase,n,mean,median,std,cv,min,p90,p95,p99,max
neo4j,deep sub collection parent range filter,build,2547.0,6.5948174322732624,7.0,0.7441448827231922,0.11283782915377571,5.0,7.0,8.0,8.0,8.0
postgres,deep sub collection parent range filter,build,2936.0,56.66450953678474,46.0,20.356419878934332,0.35924461440400557,36.0,96.0,99.0,109.65000000000009,119.0
mongo,deep sub collection parent range filter,exec,2950.0,4535.619322033898,3317.5,3215.9621286407205,0.7090458656919632,990.0,8986.1,9328.0,10493.789999999994,11894.0
neo4j,deep sub collection parent range filter,exec,2945.0,3064.181324278438,2696.0,1424.901804536823,0.4650187615357139,1223.0,5136.0,5394.0,5853.759999999998,8533.0
postgres,deep sub collection parent range filter,exec,2949.0,1925.9142082061717,1527.0,1187.7794081478999,0.6167353681108242,578.0,3602.0,3744.0,4230.639999999999,6225.0
mongo,deep sub collection parent range filter,total,2950.0,4943.199661016949,3727.5,3224.9806047137417,0.6524075145389285,1310.0,9438.1,9761.099999999999,10910.629999999997,12325.0
neo4j,deep sub collection parent range filter,total,2945.0,3071.941935483871,2703.0,1425.081355547464,0.4639024387428713,1229.0,5143.6,5401.0,5861.199999999999,8540.0
postgres,deep sub collection parent range filter,total,2949.0,1984.1871820956255,1586.0,1193.5794092557403,0.6015457715008146,623.0,3661.0,3812.6,4305.24,6266.0
mongo,sub collection child and parent range filter,build,2414.0,183.88566694283347,180.0,17.72121965957905,0.09637085888313544,145.0,206.0,219.3499999999999,249.8699999999999,262.0
neo4j,sub collection child and parent range filter,build,2922.0,11.301848049281315,10.0,4.6123158745893225,0.4081028035837573,5.0,18.0,20.0,23.0,27.0
postgres,sub collection child and parent range filter,build,2556.0,36.82472613458529,35.0,6.274961186313691,0.17040075636625934,27.0,46.0,51.0,57.0,58.0
mongo,sub collection child and parent range filter,exec,2950.0,4679.494237288136,2499.0,4337.213130576841,0.9268551066942537,618.0,10860.5,11971.099999999988,12778.55,17205.0
neo4j,sub collection child and parent range filter,exec,2943.0,2626.9755351681956,1946.0,1307.8189910447725,0.4978420900905107,918.0,4454.6,4807.200000000001,5548.32,7658.0
postgres,sub collection child and parent range filter,exec,2947.0,1228.628096369189,850.0,717.652625367655,0.5841089158618821,364.0,2310.0,2474.7,2727.54,3590.0
mongo,sub collection child and parent range filter,total,2950.0,4894.34406779661,2691.5,4364.066374267654,0.8916550029618817,779.0,11117.2,12218.599999999991,13095.55,17377.0
neo4j,sub collection child and parent range filter,total,2943.0,2639.0655793408087,1956.0,1305.9532753083638,0.49485442329726703,933.0,4463.8,4818.8,5560.0,7668.0
postgres,sub collection child and parent range filter,total,2946.0,1270.4443312966735,889.0,719.9529175726252,0.566693793531125,391.0,2358.0,2514.25,2774.500000000002,3628.0
mongo,sub collection child range filter,build,2574.0,379.96581196581195,350.0,82.31816926794306,0.21664625257219136,288.0,504.0,594.0,643.27,653.0
