form_id;collectionSize;actual_fastest;actual_fastest_duration;n_drivers_compared;ml_predicted_fastest;ml_pred_duration_postgres;ml_pred_duration_mongo;ml_pred_duration_neo4j;majority_predicted
-6562241423079351546;9000;neo4j;4937.578947368421;2;neo4j;4321.925893790303;8576.019231279137;2168.9795223918813;neo4j
-6562241423079351546;15000;postgres;9240.8;1;neo4j;6226.8200499826735;10175.716303473335;2367.2678156771417;neo4j
-6115401621386745213;100;postgres;929.6311111111111;3;postgres;1201.8415636547306;5089.8355769565205;1835.5180091445334;neo4j
-6087403437793251177;500;neo4j;2049.3504464285716;3;neo4j;3313.5270994005054;9440.42070598937;2282.7751113572604;neo4j
-5883824215796995569;3000;neo4j;2571.7072072072074;3;neo4j;4255.3421460757045;8288.537545197163;2067.9803063370823;neo4j
-5769746364751834848;100;neo4j;1537.828125;3;neo4j;3221.343836978418;10905.152868598281;2330.7767974341323;neo4j
-5592271172756412787;500;neo4j;1344.3964365256124;3;neo4j;1838.7708656335067;1966.8545365224072;1200.0122460310135;neo4j
-5342634912139478849;100;neo4j;1454.765625;3;neo4j;3110.5096924336403;6921.482236186084;1907.523858889768;neo4j
-5218472874076861174;100;neo4j;1512.9979423868313;3;neo4j;2494.705794653343;2035.7305105253163;1151.242224370852;neo4j
-5218472874076861174;500;neo4j;1480.9958932238194;3;neo4j;2621.698738399501;2142.3769820049297;1164.4614439232025;neo4j
-5218472874076861174;1000;neo4j;1269.8641975308642;3;neo4j;2780.439918082199;2275.685071354446;1180.9854683636408;neo4j
-5218472874076861174;9000;neo4j;1370.8168724279835;3;neo4j;5320.29879300536;4408.614500946711;1445.3698594106547;neo4j
-5015120425027576488;100;neo4j;1559.194075587334;3;neo4j;2516.3505854754953;2227.6448251164525;1248.3188309365078;neo4j
-5015120425027576488;500;neo4j;1422.0480572597137;3;neo4j;2643.343529221653;2334.291296596065;1261.5380504888585;neo4j
-5015120425027576488;1000;neo4j;1235.2836734693878;3;neo4j;2802.084708904351;2467.599385945581;1278.0620749292968;neo4j
-5015120425027576488;9000;neo4j;1350.091836734694;3;neo4j;5341.943583827512;4600.528815537847;1542.4464659763107;neo4j
-4994141867836442350;3000;postgres;7724.450226244344;1;neo4j;4601.439508047695;11283.731860957878;2421.985735462197;neo4j
-4897849497684829669;3000;neo4j;2662.161825726141;3;neo4j;4083.010323541823;10197.293430310929;2285.509135906872;neo4j
-4897849497684829669;9000;neo4j;4888.119047619048;2;neo4j;5987.904479734194;11796.990502505127;2483.7974291921323;neo4j
-4827810657882304328;1000;neo4j;1854.075723830735;3;neo4j;2110.3403988725545;5990.833166418405;1902.3135971816146;neo4j
-4747473398088409065;100;neo4j;1403.9799554565702;3;neo4j;2628.455303831276;7210.423589075695;1989.685614199893;neo4j
-4457535041426753831;100;neo4j;1590.2076843198338;3;neo4j;3580.6127838945768;9039.849748301827;2191.2120226525167;neo4j
-4457535041426753831;500;neo4j;3171.1597510373444;3;neo4j;3707.6057276407346;9146.49621978144;2204.4312422048674;neo4j
-4230844380626341797;1000;neo4j;1842.6536430834212;3;neo4j;3216.0070805279065;8901.40260231503;2110.7647997456925;neo4j
