driver,query_shape,phase,n,mean,median,std,cv,min,p90,p95,p99,max
neo4j,sub collection string equality,build,2892.0,9.61549100968188,9.0,2.1601742568715583,0.22465563689846615,5.0,12.0,13.0,15.0,15.0
postgres,sub collection string equality,build,2662.0,34.33809166040571,32.0,7.611175684783228,0.22165400919933653,22.0,48.0,54.0,55.0,55.0
mongo,sub collection string equality,exec,2950.0,4260.169830508475,2432.5,3955.7941036076822,0.9285531471724301,489.0,10055.4,10764.049999999997,11891.689999999995,13934.0
neo4j,sub collection string equality,exec,2948.0,2724.032564450475,2046.5,1828.5727073889093,0.671274173169729,818.0,5348.3,5901.6,6582.530000000001,9960.0
postgres,sub collection string equality,exec,2950.0,1241.5494915254237,813.0,886.225672031756,0.7138061576126934,359.0,2538.3999999999996,2782.7499999999986,3175.219999999995,4647.0
mongo,sub collection string equality,total,2950.0,4339.175254237288,2518.5,3971.339216101208,0.9152290431743034,537.0,10147.2,10859.699999999997,11990.609999999997,14071.0
neo4j,sub collection string equality,total,2948.0,2734.432157394844,2057.0,1829.8105239588588,0.6691738608363065,825.0,5361.0,5913.550000000001,6593.0,9970.0
postgres,sub collection string equality,total,2950.0,1280.3376271186441,852.5,891.8528299193354,0.6965762866209123,386.0,2587.1,2837.199999999999,3230.6899999999955,4683.0
mongo,sub collection string in list,build,2915.0,294.2891938250429,304.0,118.0079060576407,0.400992997819,148.0,412.0,519.8999999999992,630.0,685.0
neo4j,sub collection string in list,build,2904.0,12.977617079889807,12.0,2.7243018497303058,0.20992311862490534,8.0,16.0,17.0,21.0,23.0
postgres,sub collection string in list,build,2760.0,39.5981884057971,36.0,9.031726748212549,0.228084342032433,26.0,58.0,60.0,62.0,63.0
mongo,sub collection string in list,exec,2950.0,4708.001694915254,2619.5,4367.557436252701,0.9276881614060929,593.0,11182.3,11960.0,13432.679999999984,19135.0
neo4j,sub collection string in list,exec,2950.0,3550.6857627118643,2437.0,2403.806622836768,0.6769978487200291,904.0,7048.0,7571.0,8934.0,12901.0
postgres,sub collection string in list,exec,2946.0,1476.7304820095044,997.5,982.7279381092616,0.6654754879658106,455.0,2879.5,3131.75,3568.1000000000004,5481.0
mongo,sub collection string in list,total,2950.0,5012.065084745763,2973.0,4438.619496276317,0.8855869629038279,745.0,11580.1,12354.149999999985,13776.039999999999,19555.0
