query_shape,phase,driver_a,driver_b,median_a,median_b,p_value,cliffs_delta
very deep sub collection filter all only,total,neo4j,postgres,2639.0,1615.5,5.010015056662734e-161,0.40693922996157883
very deep sub collection id in list,total,mongo,neo4j,2580.0,1712.0,0.0,0.9741592003473897
very deep sub collection id in list,total,mongo,postgres,2580.0,1969.0,4.4048098631527935e-82,0.28908687671185285
very deep sub collection id in list,total,neo4j,postgres,1712.0,1969.0,3.253927790737627e-58,-0.2425489432217926
very deep sub collection id in list only,total,mongo,neo4j,2464.0,1458.5,0.0,0.998754713146136
very deep sub collection id in list only,total,mongo,postgres,2464.0,1715.5,1.5639565695611801e-99,0.319165017784715
very deep sub collection id in list only,total,neo4j,postgres,1458.5,1715.5,9.85223948852561e-62,-0.24980848153214774
very deep sub collection int equality middle only,total,mongo,neo4j,23298.5,2871.5,0.0,0.7506188224193678
very deep sub collection int equality middle only,total,mongo,postgres,23298.5,1792.0,0.0,0.8034442976156277
very deep sub collection int equality middle only,total,neo4j,postgres,2871.5,1792.0,7.860026156768404e-188,0.4396117689023899
very deep sub collection int equality only,total,mongo,neo4j,5127.0,2490.0,4.2169856708038844e-165,0.41194595621900865
very deep sub collection int equality only,total,mongo,postgres,5127.0,1755.0,0.0,0.5939940247055444
very deep sub collection int equality only,total,neo4j,postgres,2490.0,1755.0,2.3627201528969084e-106,0.329509609127087
very deep sub collection one doc by id only,total,mongo,neo4j,1698.0,1069.0,3.9781501941255063e-122,0.35395164902315474
very deep sub collection one doc by id only,total,mongo,postgres,1698.0,1381.0,7.583050940802146e-06,0.06730819410199378
very deep sub collection one doc by id only,total,neo4j,postgres,1069.0,1381.0,4.843993429365312e-69,-0.2644751547405565
very deep sub collection string equality multiple only,total,mongo,neo4j,3666.0,2052.0,4.819407904661511e-124,0.35633845320985735
very deep sub collection string equality multiple only,total,mongo,postgres,3666.0,1636.0,2.5880981424797348e-173,0.42194139615053144
very deep sub collection string equality multiple only,total,neo4j,postgres,2052.0,1636.0,4.353734268648264e-14,0.11357521726360165
very deep sub collection string equality only,total,mongo,neo4j,3496.5,1989.0,9.936669841020227e-108,0.33158974535998254
very deep sub collection string equality only,total,mongo,postgres,3496.5,1631.0,1.5796712822252732e-157,0.4020264291870152
very deep sub collection string equality only,total,neo4j,postgres,1989.0,1631.0,2.0744351456900484e-14,0.11498947150402154
very deep sub collection string in list only,total,mongo,neo4j,4729.0,2597.5,8.127658674471415e-132,0.36754139349456727
very deep sub collection string in list only,total,mongo,postgres,4729.0,1834.5,4.174956593620555e-275,0.5328078138465958
very deep sub collection string in list only,total,neo4j,postgres,2597.5,1834.5,1.6008057453403856e-107,0.3313775939347152
